termino,frecuencia
lado bueno,1
bueno deportan,1
deportan frontera,1
frontera carteles,1
carteles secuestran,1
secuestran sacar,1
sacar dinero,1
dinero familiares,1
familiares usa,1
debe llegar,1
llegar muchas,1
personas buena,1
qué lujooo,1
lujooo contenidooooo,1
dijo qué,1
hacían periodistas,1
periodistas país,1
país deje,1
deje escuchar,1
escuchar quiero,1
quiero picar,1
picar hígado,1
nuevos corruptos,1
usac rector,1
rector usurpador,1
entoces mismas,1
mismas junta,1
directiva haciéndose,1
haciéndose suyas,1
suyas dinero,1
dinero basta,1
basta tanto,1
tanto robo,1
robo barriles,1
barriles fondos,1
entiendo periodistas,1
periodistas ahora,1
ahora atacan,1
atacan tanto,1
tanto entusiasmo,1
entusiasmo cosas,1
cosas gobierno,1
gobierno anterior,1
anterior estuvieron,1
estuvieron callados,1
callados tiempo,1
tiempo también,1
también recibían,1
recibían pagos,1
tanto mierda,1
mierda programa,1
programa razón,1
razón tira,1
tira así,1
así corruptos,1
indignante existen,1
existen guatemaltecos,1
guatemaltecos estúpidos,1
estúpidos proyectos,1
proyectos proyectos,1
proyectos estados,1
estados partidos,1
políticos hubiera,1
hubiera haciendo,1
haciendo zurdo,1
zurdo presidente,1
presidente inaurando,1
inaurando construcción,1
construcción reempezar,1
reempezar años,1
años empezó,1
empezó así,1
así puente,1
puente roosevelt,1
roosevelt tuvo,1
tuvo ningún,1
ningún cambio,1
cambio expuesto,1
expuesto sucede,1
sucede siempre,1
siempre llega,1
llega delincuente,1
delincuente quiere,1
quiere mordida,1
mordida prosupuesto,1
prosupuesto echo,1
tantos empezaron,1
empezaron llegaron,1
llegaron siquiera,1
siquiera mitad,1
mitad puentes,1
puentes rio,1
rio robar,1
robar dinero,1
dinero presidente,1
presidente llegó,1
llegó hacer,1
hacer diferente,1
diferente vote,1
vote pues,1
pues tampoco,1
tampoco cotado,1
cotado corruptos,1
corruptos presente,1
presente votaría,1
votaría posible,1
mucha importancia,1
importancia dan,1
dan éste,1
éste ladrón,1
ladrón maldito,1
válido den,1
gustos dinero,1
dinero guatemaltecos,1
guatemaltecos sinverguenzada,1
sinverguenzada jugosos,1
jugosos salarios,1
salarios roben,1
roben pueblo,1
pajas político,1
político gasta,1
gasta dinero,1
dinero país,1
tema centrese,1
centrese aclare,1
cosas entiendo,1
entiendo guatemala,1
guatemala suena,1
suena ilogico,1
ilogico dandole,1
dandole almuerzos,1
almuerzos gratis,1
gratis funcionarios,1
funcionarios publico,1
publico suficiente,1
suficiente robos,1
robos hacen,1
hacen aparte,1
aparte salarios,1
salarios incontables,1
incontables crean,1
crean fondo,1
fondo escuelas,1
escuelas niños,1
desnutridos seria,1
seria gran,1
gran ayuda,1
ayuda padres,1
bueno guate,1
guate paga,1
secuestrador san,1
buena universidad,1
universidad ahí,1
ahí estudio,1
estudio hermano,1
hermano embargo,1
embargo universidad,1
universidad manchada,1
manchada malditos,1
malditos rojos,1
rojos asquerosos,1
asquerosos comunistas,1
comunistas salen,1
salen manifestar,1
manifestar huelga,1
iniciativa equipo,1
equipo emprendimeitno,1
emprendimeitno rescatar,1
rescatar tradiciones,1
tradiciones guatemala,1
guatemala esperamos,1
esperamos puedan,1
puedan seguir,1
seguir avanzando,1
avanzando juego,1
juego vuelva,1
vuelva popular,1
popular nuevas,1
nuevas generaciones,1
generaciones bravo,1
diputado deja,1
deja hablar,1
hablar periodistas,1
periodistas trata,1
trata confundir,1
confundir población,1
población respuestas,1
respuestas justificando,1
justificando armadas,1
armadas dinero,1
dinero blo,1
también personas,1
personas hacen,1
hacen pasar,1
pasar mexicanos,1
mexicanos deporté,1
deporté méxico,1
méxico regresar,1
regresar rápido,1
rápido usa,1
anos precidente,1
ojalá pudiera,1
primera vez,1
vez deacuerdo,1
deacuerdo pedro,1
julio haber,1
haber asumido,1
asumido rector,1
rector facto,1
facto eligieron,1
eligieron héctor,1
héctor hugo,1
hugo pérez,1
pérez aguilera,1
aguilera representante,1
representante titular,1
titular usac,1
usac corte,1
corte constitucionalidad,1
guatemala cambia,1
cambia dictadura,1
dictadura años,1
ala tipo,1
tipo necio,1
necio descarado,1
descarado hipócrita,1
hipócrita comen,1
comen después,1
después hablan,1
hablan desnutrición,1
desnutrición colmo,1
colmo cumplir,1
cumplir mandato,1
mandato periodístico,1
trabajo señores,1
señores agentes,1
agentes dios,1
dios cuide,1
siempre andan,1
andan viendo,1
viendo comen,1
comen pueblo,1
pueblo basta,1
basta sueldo,1
trabajo qué,1
qué lugares,1
lugares tan,1
tan caros,1
caros dinero,1
mentirosito diputado,1
rodas tanto,1
tanto quiere,1
quiere guatemala,1
guatemala paguen,1
paguen almuerzo,1
almuerzo pueblo,1
siii tanta,1
corrupción mucha,1
mucha muerte,1
muerte colombia,1
colombia guatemala,1
guatemala personas,1
personas corazón,1
corazón dispuesto,1
dispuesto cuidar,1
cuidar país,1
país sacar,1
sacar adelante,1
pena administración,1
administración trump,1
trump ofrezca,1
ofrezca amnistía,1
amnistía mexicanos,1
mexicanos grupos,1
grupos personas,1
personas trabajadoras,1
trabajadoras ayudan,1
ayudan mejora,1
mejora país,1
llega saquen,1
saquen cortos,1
cortos vídeo,1
vídeo programa,1
programa criterio,1
criterio largo,1
largo vaya,1
vaya bueno,1
urge convocar,1
convocar elecciones,1
elecciones estudiantes,1
estudiantes sufriendo,1
sufriendo vez,1
vez deficientes,1
deficientes instalaciones,1
instalaciones laboratorios,1
laboratorios aulas,1
aulas ademas,1
ademas abandono,1
abandono rectoria,1
rectoria facultades,1
facultades siguen,1
siguen luchando,1
luchando oposicion,1
oposicion muestran,1
muestran renuentes,1
renuentes seguir,1
seguir ordenes,1
ordenes afectan,1
afectan directamente,1
directamente estudiantes,1
estudiantes catedraticos,1
catedraticos personal,1
personal servicios,1
servicios limita,1
limita capacidad,1
capacidad brindar,1
brindar educacion,1
educacion calidad,1
calidad atender,1
atender poblacion,1
poblacion guatemalteca,1
guatemalteca travez,1
travez eps,1
eps ofrecen,1
ofrecen unidades,1
unidades academicas,1
desayuno habrá,1
puro show,1
show diputranzas,1
diputranzas den,1
den parte,1
parte autorizar,1
autorizar subsidios,1
subsidios gas,1
viva viva,1
pues pidió,1
pidió guesiara,1
guesiara diputado,1
diputado será,1
será descarado,1
descarado seve,1
seve corruptos,1
corruptos mientras,1
mientras pueblo,1
pueblo cinco,1
cinco pagan,1
pagan electores,1
electores serán,1
serán comen,1
belleza llegara,1
llegara construir,1
construir proyectos,1
gusta renuncie,1
arevalo presidente,1
presidente quiere,1
quiere pueblo,1
pueblo pais,1
pais guatemala,1
guatemala ratas,1
ratas presidentes,1
presidentes anteriores,1
anteriores apoyo,1
agarran manos,1
manos masa,1
masa allan,1
allan decir,1
decir buenos,1
buenos comer,1
comer gratis,1
gratis buenos,1
buenos hijos,1
hijos gran,1
gran patria,1
patria guatemala,1
guatemala mantenidos,1
mantenidos corruptos,1
corruptos wuabiar,1
wuabiar bueno,1
