channel_id,channel_name,videos,visualizaciones,comentarios,autores_unicos
UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,18,31267,256,214
UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,32,56052,70,50
UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,27,452548,25,25
UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,2,77449,25,18
UCVpSRoZgngfSL03Nlbjtq9A,Noti7,3,78000,14,13
UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,17,424888,7,7
UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7,67950,7,7
UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2,5411,2,2
UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,1,8190449,0,0
UCDfEVbDrimcKw5lfbps915g,De todo Gt,5,4627528,0,0
UCVbOEcs6RMxXXX3WWNtl_Fw,El Mapa de Sebas,1,749356,0,0
UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,1,330057,0,0
UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,10,329798,0,0
UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,2,306117,0,0
UC6Y7Hk0Otm2xeX1WoHOQp6Q,Nostalgia Latina,1,222656,0,0
UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,2,197681,0,0
UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,14,141661,0,0
UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,2,140708,0,0
UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,1,134775,0,0
UCYaMaLJVbMlLwpPACbxPUuQ,Alan Delmonte,1,108616,0,0
UC70eD0hNEwDNAfNlqfRWlGA,Welcome to el Mundo,1,104869,0,0
UCBedZZFhxFcMudI8oM5joSQ,PaulinoG,1,96794,0,0
UCkXkEfAaEGxUaIT6TBBkwMw,One Life,2,71254,0,0
