node_id,id_original,etiqueta,comunidad_aa
autor::UC6Uj1FT5JjDSF8vudvDxPAA,UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,8
autor::UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,3
autor::UC6xI_MOaxajIWpoP8BH6E_Q,UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,10
autor::UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,3
autor::UC7IMsCxfZyWN7YQo8-JYa6Q,UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,0
autor::UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,3
autor::UC7dadZG7kkGYnsNu6td0FbA,UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,8
autor::UC816IGbFCZinfYS1LRDaaHg,UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,8
autor::UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,3
autor::UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,3
autor::UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,3
autor::UC8xlJWNHz1V_W6q3fbuQH8g,UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,0
autor::UC95PSMouTx2N5CbSq0hIyrQ,UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,8
autor::UC9Wp6vL5oCU37qC3Aj94WZA,UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,4
autor::UC9vMq1YF-e7C-VO0SHkbUTA,UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,3
autor::UC9xr9QvIcDvoZNUX5f-jaZw,UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,3
autor::UCA93ym2TXs_Ibyxb4Vcn-6Q,UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,3
autor::UCAKuKvcbfnBD3kF5njNu-IA,UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,8
autor::UCAV7QIjYhbDJaycQycM_0eQ,UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,0
autor::UCAlzM_N6xBlMYmM8EBzX86Q,UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,3
autor::UCAmtbUiIrUIhikru0ZoTFig,UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,3
autor::UCAxvOOHQk7dYPOajzFEVtbA,UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,0
autor::UCB5p8a5gklc80jJItP6xTHg,UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,3
autor::UCBlm80VQ4YoV3bUJR_XhkaQ,UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,1
autor::UCBtB5dIyx-C16UN8ClUD2UA,UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,8
autor::UCCBYcToQ2dwkd6TJh0FSyDg,UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,8
autor::UCCUmP4PlbwgikVFpYwbtRTg,UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,11
autor::UCCaYwkkbQGcvFoUmothVdQQ,UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,3
autor::UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,3
autor::UCDPWkUX3sNNaCx-m1dV4glA,UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,3
autor::UCDQaQv0hr2SS_PO-CMEwVHg,UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,3
autor::UCDUffaruH6dyUnUGwsTKpgg,UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,3
autor::UCDftMWXQoJ6nONfY7GVOVjg,UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,3
autor::UCDlr1VadSucIZgZ171pRBjQ,UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,3
autor::UCDrmf9y9nLgFY5wnA2hTuGA,UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,8
autor::UCEHXl4VvvVpq-_4xC5tsbhg,UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,0
autor::UCEgEQmRbtL5fwr9_DqAC--g,UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,3
autor::UCErZPJpHmLCsXs8ZWkAUupQ,UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,3
autor::UCFFrEmn6lPYiWyElpfzTy5Q,UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,8
autor::UCFOxCyF926Y9eHhMeVoWLzw,UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,5
autor::UCFUuDARXdmmIrLppEqf-rFg,UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,3
autor::UCFhxtoeARHPnXXPcDrOU3Xg,UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,3
autor::UCFjudnPLoaSL1BaRuLahyHg,UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,3
autor::UCFoIAE8k82D6AV-8gjjKaNg,UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,3
autor::UCFxE8GbokBrBsPEKM1xrOjQ,UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,3
autor::UCFybmWapGvBKcQod7cPPH9w,UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,0
autor::UCGGHbtfbbe0o68etrOf0qxw,UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,8
autor::UCGX_UbAQOXGZknv5iqklwTA,UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,0
autor::UCGZMgmM92E3njyXNe9-kjAQ,UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,1
autor::UCGj2v6Gl5bN8NSrzJMXS-CA,UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,11
autor::UCGm3gRBEHGRJYmtCryZLtDw,UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,4
autor::UCGqKxQS-z3NZzZF-2w338AA,UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,5
autor::UCGzXwyCzMzGmjmCbH3Hg01Q,UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,3
autor::UCHGd14aYuZZShLD73dkk6mg,UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,13
autor::UCHMQ_lDhibZ-XZ_3fo6oxwg,UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,5
autor::UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,3
autor::UCHbwIx9pmQuf7i-4_xO2EpA,UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,8
autor::UCHhHUjaMAZ8SiXdCUCj9DkQ,UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,3
autor::UCHu8x4MVkayU6VgwVKd--MQ,UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,4
autor::UCIUhbSCy3-SGRe5UtqM4fzQ,UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,5
autor::UCIXLDYqR_syskKRJy_x9W9Q,UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,0
autor::UCIgoiXdIKJyUGmUoH2Lxdzg,UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,1
autor::UCIp19h9igblA2YKfSLPDAug,UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,5
autor::UCJp3OrVYcBorC94sKwdch_A,UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,11
autor::UCJxJC56BSAX-ArD0NAb9qnQ,UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,2
autor::UCKDR0f2fu2UzWL8mBv5-BHw,UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,3
autor::UCKVzDUqbtdSMBcexaEtMmzQ,UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,6
autor::UCL13XhnRzbGokEkCkEOb0-g,UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,3
autor::UCL1MT278vSaQ83ZDkVWn1gw,UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,3
autor::UCLFdHr9BEbXHkoJopbEPLZw,UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,3
autor::UCLXYp1Cvc5DLtq5UQL5D9vw,UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,0
autor::UCLggDc_a5HriXv7I1h02sOA,UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,3
autor::UCLh1Kde4_vI1sTZBkTNP7RQ,UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,8
autor::UCN2N_wYOw6fMwCeSzdXLPIw,UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,0
autor::UCN6qbfPSzFtjhqUDZ3Cv3CQ,UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,3
autor::UCNBnKqWf4d-rS4HwJRQljmQ,UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,3
autor::UCNIeXbV_mEwpa412h1aqUWw,UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,0
autor::UCNiMNUJvaRJb0_QLClqwVnA,UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,6
autor::UCNkcuy42zEwddwEcOd_HpnA,UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,3
autor::UCNpt5CQlTzNjlAKY6CJtClQ,UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,8
autor::UCO0zwwLWGyDgQmWPJ5Qrr1w,UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,0
autor::UCOARn3hnfkB7-_Rwa8Hoqcw,UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,11
autor::UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,3
autor::UCOLHH4ZpMxPYF-Q6e6wvn5A,UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,1
autor::UCOS8ViEkccrTZx2w2ccxotA,UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,3
autor::UCOY3XpD9qMCRSA8AA8c4CAw,UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,11
autor::UCOcUI5XkTYNMSFhZNMIPpGg,UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,8
autor::UCOh6DaZC_x9HASnlRylEMfw,UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,3
autor::UCPLW0HE3siElqCgXfgWxMqg,UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,7
autor::UCPNXmbOBVeC4HS-xemvcPtQ,UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,1
autor::UCPZueDLrCS4BmTBRMA4q0fA,UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,0
autor::UCQIdKuZ-OzuFqy0KjGrgesg,UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,13
autor::UCQM2tCKRRytVDRxNUfCDqQQ,UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,9
autor::UCQMMuADgqWUOcJpLwHOzC-g,UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,1
autor::UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,3
autor::UCQgYjVngJRfPHDLGB5X6ZjA,UCQgYjVngJRfPHDLGB5X6ZjA,@oscarnavas9996,3
autor::UCQqetiwzzmRNTM5OWuXarGQ,UCQqetiwzzmRNTM5OWuXarGQ,@isaiaslopezvelasquez1539,3
autor::UCQqlPPUGqAfWjd-FSh_qn7Q,UCQqlPPUGqAfWjd-FSh_qn7Q,@estuardoargueta137,8
autor::UCQtICyzWmhC5woCtbNgaSmg,UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,3
autor::UCQtSFINs1h6GHkpg9o5kMvg,UCQtSFINs1h6GHkpg9o5kMvg,@MacarioMartinezruiz,3
autor::UCQyOePccUP-fIJYzchAgZYw,UCQyOePccUP-fIJYzchAgZYw,@aguilar4254,8
autor::UCRAquv8el-tQ30bN7MlmySQ,UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,8
autor::UCRETAiYdh2dL5ZxB0_N1zDA,UCRETAiYdh2dL5ZxB0_N1zDA,@Joseroland21,3
autor::UCRcSR3Lvn9DZAmJpVPANfZQ,UCRcSR3Lvn9DZAmJpVPANfZQ,@WalksandSuch,5
autor::UCRelkU8JiZBytTzebJxaa-w,UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,3
autor::UCRfkkatKrNtAARnXMMYBGlA,UCRfkkatKrNtAARnXMMYBGlA,@BernerSoza-mg3vx,0
autor::UCRlCV9zSn7avAWh-9_XFWqQ,UCRlCV9zSn7avAWh-9_XFWqQ,@ronyarana8849,3
autor::UCRvPToDkkumha7WJAfCDk1A,UCRvPToDkkumha7WJAfCDk1A,@ligiaguerra3057,8
autor::UCRznz9-N3Qc1w-qNdLSIY2Q,UCRznz9-N3Qc1w-qNdLSIY2Q,@jimmygomez724,5
autor::UCSTAUWVc1_82DHYeqOsqEFA,UCSTAUWVc1_82DHYeqOsqEFA,@TheAlexX_C,5
autor::UCSou6a2OuYGSvPjm5psquyA,UCSou6a2OuYGSvPjm5psquyA,@FranciscoRivera-sf7ne,3
autor::UCTD6q1nyIe3Y7HhqjaMj72w,UCTD6q1nyIe3Y7HhqjaMj72w,@JuanChang-r6k,3
autor::UCTP3O0rMnc8z8v8jaDQwL0w,UCTP3O0rMnc8z8v8jaDQwL0w,@RobertoZelaya-x1v,3
autor::UCTTILH6QCIxbTnEWxwRqs1g,UCTTILH6QCIxbTnEWxwRqs1g,@3762Jorge,11
autor::UCThW2XNsAaBKme5PUt7n-Zg,UCThW2XNsAaBKme5PUt7n-Zg,@thelmamoran8565,3
autor::UCTwSut16JyAg3mX6LVUNGqA,UCTwSut16JyAg3mX6LVUNGqA,@SuperVictor2005,3
autor::UCTylKrsqkrBKIqubMu_5N0Q,UCTylKrsqkrBKIqubMu_5N0Q,@edwingeovanymarroquinmarro6684,3
autor::UCUIIIPTVDVHAXqhC_5V6lPA,UCUIIIPTVDVHAXqhC_5V6lPA,@gorrarota,3
autor::UCUoYsrx1oZnCZ0usbBJn4fA,UCUoYsrx1oZnCZ0usbBJn4fA,@AnaDiaz-re9sq,8
autor::UCV0iizTBoOfdAFX_thfI9BA,UCV0iizTBoOfdAFX_thfI9BA,@BenjaminLarios-jd8nk,3
autor::UCV0lM03g5fg5pbPj97-sAtA,UCV0lM03g5fg5pbPj97-sAtA,@genarodelgado3929,8
autor::UCV3fr-YOixFKCZBbJP1-X4w,UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,0
autor::UCVC2QugcI1G4RvlCiUqd1aQ,UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,11
autor::UCVQf0tzL7xRzFJsABVVULpg,UCVQf0tzL7xRzFJsABVVULpg,@DennisseLopetegi,0
autor::UCVdjCrh4tQoX3haNAZv-n5A,UCVdjCrh4tQoX3haNAZv-n5A,@aurahernandez5646,1
autor::UCVhif9eV0f8plICen2DnpKA,UCVhif9eV0f8plICen2DnpKA,@blogarteplus,11
autor::UCW-JC6lebVmf2P1dmY_L94g,UCW-JC6lebVmf2P1dmY_L94g,@dinoraoroxon5771,8
autor::UCW80DaMjQlEUibC98Cot-Dg,UCW80DaMjQlEUibC98Cot-Dg,@rogeraldana4289,8
autor::UCWIZUtKJ636y-4TYrNvok0g,UCWIZUtKJ636y-4TYrNvok0g,@cesarandreas7824,3
autor::UCWWkebAekppaL5b5CNlppuw,UCWWkebAekppaL5b5CNlppuw,@ninettmartinez425,13
autor::UCWaRixDdpgllTBf4V0jPnKQ,UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,0
autor::UCWoAVGVqCn4xtINCMOTM4jg,UCWoAVGVqCn4xtINCMOTM4jg,@OmarMartinez-vv8re,8
autor::UCWvntqPQx99k_Z_skWKqNSA,UCWvntqPQx99k_Z_skWKqNSA,@AntonioChiyal-x5s,0
autor::UCXN2s7DwTJm33xO-pNkAdaA,UCXN2s7DwTJm33xO-pNkAdaA,@edithsan7688,0
autor::UCXO1BBohNWXkK9SBDAG2ySg,UCXO1BBohNWXkK9SBDAG2ySg,@JBFlute92,11
autor::UCXSkL3ejZ8qWYyF_M7s_QKA,UCXSkL3ejZ8qWYyF_M7s_QKA,@JacintaTzoy,3
autor::UCXVLc8CmAO813ubM-fLvCDw,UCXVLc8CmAO813ubM-fLvCDw,@herminiasaquimux7565,11
autor::UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,@MrDuenderojo,3
autor::UCXgr7vXlRrsaskPdo097kGA,UCXgr7vXlRrsaskPdo097kGA,@Rogergh-nw4oj,3
autor::UCXl30Y_upRqbti52fmjK4YA,UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,11
autor::UCXmrpc6Li0spcKxtS0Q_ptg,UCXmrpc6Li0spcKxtS0Q_ptg,@melvinperez6710,5
autor::UCXr8_5WtGeipe4haOoQDgyQ,UCXr8_5WtGeipe4haOoQDgyQ,@amyherrera7352,3
autor::UCY7Hq7F9Lnucf-Yr6JkHZNw,UCY7Hq7F9Lnucf-Yr6JkHZNw,@maynorcalel1442,5
autor::UCYN4wSQ1Sx4_LurxLlW7MPg,UCYN4wSQ1Sx4_LurxLlW7MPg,@belarminavillatoro6474,3
autor::UCYwpX26TrCxq8TvbKGRYLXA,UCYwpX26TrCxq8TvbKGRYLXA,@beneficioelcaminovillacana8540,3
autor::UCZ51R_9Q9C0c8I3pAWhtmjQ,UCZ51R_9Q9C0c8I3pAWhtmjQ,@belvettzapeta1251,3
autor::UCZFQwqh90apuL8eFhvRBkUg,UCZFQwqh90apuL8eFhvRBkUg,@luisricardo9671,0
autor::UCZIQnb1fkwe39Iw2TAu-bGA,UCZIQnb1fkwe39Iw2TAu-bGA,@jorgegomez2237,11
autor::UCZLG9qH0tUjNhEGFIUt0CYw,UCZLG9qH0tUjNhEGFIUt0CYw,@SoniaMarroquin-y6e,3
autor::UCZOmq6MwFDVoCaEl99BRRaw,UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,11
autor::UCZeIIQrGAedW8tCbKWmGY-A,UCZeIIQrGAedW8tCbKWmGY-A,@mariocordon8873,8
autor::UCZjm6U576nX8WOiLhmMR3bw,UCZjm6U576nX8WOiLhmMR3bw,@MariaNavarroYT,1
autor::UC_3xuTXvMIWU5MYP9HkJ3vQ,UC_3xuTXvMIWU5MYP9HkJ3vQ,@Historia-wm4os,0
autor::UC_6KbBY1bsYXz9fwFS0eQRg,UC_6KbBY1bsYXz9fwFS0eQRg,@imrcp5694,11
autor::UC_LYoGs5C3mbZKZuKuqYCvw,UC_LYoGs5C3mbZKZuKuqYCvw,@javiercifuentesarchila6041,8
autor::UC_NRVt2UP88ZNTwzrZ66JSg,UC_NRVt2UP88ZNTwzrZ66JSg,@aditalissethevasquezrojas8039,12
autor::UC_ljZ1hZXR9pzexFz87P5ZA,UC_ljZ1hZXR9pzexFz87P5ZA,@ChRiStOpHeR7969,5
autor::UCa36MjQLoPAmgJo-R3G8WQA,UCa36MjQLoPAmgJo-R3G8WQA,@elsasalguero6914,0
autor::UCaKAjTW9MVub_clgr4DRYjQ,UCaKAjTW9MVub_clgr4DRYjQ,@josecastillo4390,8
autor::UCaT4saRcyqCLE657Rq2hhZQ,UCaT4saRcyqCLE657Rq2hhZQ,@elmilenial4064,0
autor::UCaT6M2zp7X6r6Whd8Vv3kHQ,UCaT6M2zp7X6r6Whd8Vv3kHQ,@alexarcos8349,5
autor::UCat2qkYvqmtDNEmo2PVuhXw,UCat2qkYvqmtDNEmo2PVuhXw,@DoraSalas-j5o,1
