proyeccion,nodos,aristas,densidad,nodos_aislados_pct,componentes,componente_mayor_nodos,peso_maximo
autor-autor,332,10732,0.1953,1.2,10,276,2
video-video,19,11,0.0643,47.37,10,10,2
