source_group,source_query,comentarios,autores_unicos
channel,@quorumgt/videos,231,192
topic,guatemala noticias,55,47
topic,Gobierno de la República de Guatemala,45,32
topic,@GobiernodeGuatemala,25,19
topic,@quorumgt,25,24
topic,Municipalidad de Guatemala,25,25
