author_channel_id,author_name,author_handle,comentarios,videos_unicos,canales_unicos,me_gusta_recibidos,respuestas_recibidas,sentimiento_medio
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,/@welfrealdana5559,2,1,1,4,0,0.0
UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,/@MegaKristenstewart,2,1,1,31,0,0.5
UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,/@nestormendez6216,2,1,1,5,0,0.0
UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,/@rwdm76,2,1,1,0,0,1.0
UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,/@hectormaaz5523,2,1,1,0,0,0.5
UCXXh7yg5KUFIWylTiKVEFKQ,@MrDuenderojo,/@MrDuenderojo,2,1,1,2,0,0.0
UCi1b_TRQfgO1Z9O2gNGGWNA,@davidisraelesquitsaquil,/@davidisraelesquitsaquil,2,1,1,0,0,0.3333333333333333
UCkd9W714-947dEE6ZOEBATA,@ARGELIATELON,/@ARGELIATELON,2,1,1,3,0,0.0
UCoGdCoJg2Lh0OX_jv6cG16g,@Israel-u5i7i,/@Israel-u5i7i,2,1,1,2,0,0.5
UCp29O_C7cchZV8IxV7Crdag,@robertoescobar5507,/@robertoescobar5507,2,1,1,0,0,0.5
UCrJn_rbo_ENAdeqneS-RmRw,@josecarrera9623,/@josecarrera9623,2,1,1,1,0,0.5
UCtCtts20bW6F9CSohau51Iw,@carlosgranados9875,/@carlosgranados9875,2,1,1,0,0,0.0
UCtNyHmRZtvGF2hSvI2dUBWw,@aureliomaldonado4793,/@aureliomaldonado4793,2,1,1,1,0,0.0
UCut6b9S98nv84cVX89PmKzA,@yeniferaguirre4498,/@yeniferaguirre4498,2,1,1,1,0,0.0
UCwW2OFy95P7ZBkOPxWkpvYg,@TeresaLucero-b5o,/@TeresaLucero-b5o,2,1,1,2,0,0.0
UCz3gu01bmjNv0DpRq-K3XYg,@eusebiovasquez4385,/@eusebiovasquez4385,2,1,1,2,0,-1.0
UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,1,1,1,0,0,1.0
UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,/@AlbertoMancilla-p9h,1,1,1,1,0,1.0
UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,/@Tommii.10,1,1,1,6,0,0.0
UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,/@normaleticiaorozcojuarez2418,1,1,1,6,0,1.0
